,Purpose Code,Categorization
3046,INTERNET ADVERTISING EXPENSE,digital
6151,IE-DUCKWORTH-VOTER BOOKS,field
7325,"BROADCAST/CABLE ADVERTISEMENTS RUNNING FROM OCTOBER 16, 2012 TO OCTOBER 23, 2012.",media
3923,POSTAGE FOR MAILER (CRONYISM),media
2047,MAILER DESIGN,media
803,DATA SERVICES,polling
1578,HECK-PROTECTING,media
5347,REIMB. CANVASSING EQUIPMENT AND TRANSPORTATION; ULTIMATE PAYEE WAS AMAZON AND RACETRAC,field
800,7/24 TO 8/7 ADVERTISING PRODUCTION,media
3542,STAFF TIME TO REVIEW OF PALM CARDS AND CANVASSING,field
3479,IE-ODONNELL-BLAST EMAIL,digital
525,DIRECT MAIL PRODUCTION POSTAGE LIST RENTAL,fundraising
5887,POSTAGE - 3RD CD FLIER,media
522,IE-KATKO-MEDIA PRODUCTION,media
462,FUNDRAISING EVENT,fundraising
2509,VOTER CONTACT CANVASSING,field
7081,TV ADVERTISEMENT STARTING 8/30/16,media
4779,REIMBURSEMENT FOR AMOUNTS PAID FOR LABOR RE: CAMPAIGN SIGNS,field
7641,DIRECT MAIL OF 'PAID THE PRICE' - ESTIMATE,fundraising
7919,TELEVISION PRODUCTION AND MEDIA BUY - TAX PAIN,media
208,PHONE CALLS,field
3363,RADIO - 'MORTGAGES',media
5555,DIGITAL AD PRODUCTION- WORKERS,digital
156,RECORDED TELEPHONE CALLS,administrative
5228,MAILERS INDICATING THAT RICHARD BURR IS SUPPORTIVE OF NC VETERANS AND HOSPITALS,media
483,TVMEDIA  RADIO PLACEMENT,media
7823,PURCHASE OF MEDIA TIME FOR TV AD,media
812,TRANSPORTATION,travel
1994,WEB HOSTING FOR KIDS ONLINE AD (SPLIT),digital
5710,VOTER CONTACT & ID (EST. COST),field
158,TELEPHONE EXPENSE,administrative
2613,GRIJALVA MAILER; SUPPORT,media
6761,TV COMBO JOE PRODUCTION,media
4347,STAFF SALARY REIMBURSEMENTS,field
410,DIRECT MARKETING,fundraising
1183,TELEVISION ADVERTISING OF 'CARES ABOUT',media
6408,TELEVISION BROADCAST,media
234,VOTER CONTACT CALLS,field
7494,ADVERTISEMENT PRODUCTION,media
2648,ESTIMATE: ADDITION TO TV BUY,media
3666,RADO AD BUY,media
7117,IE-PHONE CALLS-TRUMP,field
7128,CAMPAIGN RALLY FOOR PRIZE (REIMBURSE EVA EDWARDS),field
2537,IE-WALSH-VOTER MAIL,field
6725,POSTAGE FOR MAILERS ('ROSS SUPREME COURT'),media
1910,LIST ACQUISITION - VOTER CONTACT,fundraising
2979,EMAIL PRODUCTION,digital
4910,POST PRODUCTION AND TRANSMISSION FEES,media
748,AUDIO AND SOUND SERVICES,media
7865,IE MAIL PIECE #3 (PA),media
2824,SCRIPT WRITING,media
2021,TV PURCHASE PLACEMENT,media
104,IE-HATCH-AD PRODUCTION,media
4208,NEWPAPER ADVERTISING,media
25,OFFICE RENT,administrative
7559,ONLINE ADVERTISING 8/11,digital
4114,DATA FILE - NON-CONTRIBUTION ACCOUNT,polling
838,TELEVISION PRODUCTION OF 'NOT PRETTY',media
2636,CONSULTING FOR PRESS ANNOUNCEMENT,consulting
1615,INTERNET WEB AD - TASTE TEST - MEDICARE,digital
5724,GAS FOR MOTOR COACH,travel
7554,GOTV FIELD  OUTREACH,field
2497,CREATIVE COST- MAIL PIECE 4,media
31,SUPPLIES FOR FIELD OFFICE; 9/1-9/30,administrative
5245,TV ADS 10/20+,media
2874,ESTIMATED SALARY FOR GROUND CAMPAGIN (5/29/12 - 6/3/12),field
831,VOTER SURVEY,polling
879,JFC TRAVEL CATERING FACILITY RENTAL,travel
851,IN KIND TRAVEL,travel
5151,GOTV CALLING(IN-KIND CONTRIB. FROM EAI),field
5630,IE-INNIS-DIRECT MAIL,fundraising
289,FIELD SERVICES,field
203,CANVASSING,field
533,ADVERTISING DIRECT MAIL,fundraising
6071,IE-FIORINA-DOOR HANGERS,field
5847,TV COMMUNICATION,media
2670,ROUND BUTTONS,field
1502,TV AD SPOT PRODUCTION,media
108,BUS FOR TOOMEY ACTION,travel
49,FOOD BEVERAGE,administrative
4314,TV PRODUCTION COSTS,media
5642,IE-HUFFMAN-DOOR HANGERS,field
5875,ON-LINE BUY,administrative
6587,"BANK, OTHER TRADING ASSEST",legal
3013,IE-PRINTING/POSTAGE-SOUTHERLAND,administrative
3332,TV AD PRODUCTION & PLACEMENT: DELPHI,media
5607,WEBSITE PRODUCTION AND STATIONERY,digital
230,CONSULTANT RESEARCH,consulting
275,DIGITAL MEDIA PRODUCTION/PLACEMENT - ALASKA,digital
1880,POSTCARD PRINTING,administrative
5031,MPND12004 - MEDICARE #4,fundraising
6065,"PRODUCTION, TV AND DIGITAL FOR THREE ADS SUPPORTING JOE HECK FOR SENATE, APRIL 25 - MAY 5.",digital
469,POSTAGE FOR MAILER (KANDER OBAMACARE),media
5808,POSTAGE FOR MAILERS ('ROSS KEEPING NC DOWN'),media
5839,ESTIMATE: RENTAL CAR,travel
1090,ADVERTISING - TELEVISION,media
7483,IN-KIND DIRECT MAILING,fundraising
2044,LEAFLETTER,media
7108,"PHONES BEGINNING MAY 12, 2011",administrative
7770,ONLINE ADVESTISING,digital
273,VOTER CONTACT PROGRAM,field
1904,TV MEDIA PRODUCTION:  WHO ARE YOU?,media
5033,"DATA; DOES NOT REACH $10,000 UNTIL 10/11",administrative
6111,GENERATOR RENTAL,administrative
5129,STAFF TIME (EXCEEDED $10K ON 9/22/2016),administrative
966,DISTRICT SURVEY,polling
128,EVENT STAGING EXPENSE,administrative
584,MEDIA PRODUCTIONPLACEMENT,media
4614,CANVASS SUPPLIES,field
7473,NEWSPAPER AD PLACEMENT,media
3340,INSIDER-BARBER' TV ADVERTISEMENT,media
5502,IE-OBAMA-SIGNAGE,field
4795,AFFIRMATIVE ACTION AWARENESS,media
5270,GOOOGLE ADS,digital
1147,MEDIA SHIPPING & HANDLING,media
5257,"MEDIA BUY - TV, RADIO, BROADCAST",media
215,TECHNOLOGY CONSULTING,consulting
671,PROFESSIONAL ACCOUNTING REPORTING FEES,legal
2988,POSTAGE FOR MAILERS (ROSS KEEPING NC DOWN),media
2800,DIRECT MAIL LIST RENTAL COSTS,fundraising
3277,GRAPHICS FOR MAIL PIECE,digital
6835,RENTAL OF SOUND AND STAGING EQUIPMENT FOR RALLY,field
232,CAMPAIGN STRATEGY CONSULTING,consulting
1168,STAFF TIME AND EXPENSES FOR PHONEBANKING; 10/5-11/3. DOES NOT REACH $1000 UNTIL 11/3,polling
3881,DIGITAL MEDIA & WEB ADVERTISEMENTS,digital
674,STAFFING AT EVENTS,misc
466,FUNDRAISING POSTAGE DELIVERY,fundraising
854,IE-CASEY-PALM CARDS,field
5804,IE-HATCH-EST. STAFF & ADMIN,administrative
350,CONSULTING MEDIA BUY,consulting
3162,TEAMSTERS FOR OBAMA RALLY SIGNS,field
2873,MAILERS (MASTO OBAMACARE MAILER 3),media
2746,"WEB CONTENT DEVELOPMENT, NATIONALLY DISTRIBUTED - $57.50 PER STATE FOR 50 STATES",digital
4505,"TV ADVERTISEMENT STOP WASHINGTON AGAINST ANN KIRKPATRICK, 8/21/14 - 8/26/14.",media
3719,MILEAGE FOR CANVASSERS 10/1-10/19,field
3315,POSTCARD DATA PREP,polling
809,MEDIA EXPENSE-48 HR. REPORT,media
5064,PHONE CALLERS PAY,field
539,CONS PROFSERV FUNDRAISING,fundraising
109,BINGO SUPPLIES,administrative
1170,IE-ANGLE-EMAIL LIST,field
672,AUDIO VISUAL SERVICES AMEX SB231615120,media
90,IE-LEE-EMAIL MARKETING,digital
78,MAIL EXPENSE,administrative
7565,MAIL - FUZZY ETHICS,administrative
4214,TARGETED ONLINE ADS (2/3 - 2/17/2016),digital
2199,TRAVEL FOR 'HELLO ROMNEY',travel
10,IE-MANDEL-TSHIRTS,field
6524,WEBSITE PRODUCTION SUPPORTING DREW FERGUSON.,digital
3948,SUPPLIES FOR PHONE CENTERS,polling
7798,AIRTIME - HOUSEWIVES TV AD,media
181,ONLINE FUNDRAISING EXPENSES,digital
6591,HAND FANS,administrative
46,ADVERTISINGTV PLACEMENT VOTED FOR,digital
2945,MAIL DESIGN (BEGICH OBAMACARE),media
2020,STAFF & EMC HD EMAIL,administrative
7837,STAFF TIME FOR FIELD OFFICE; 10/1 - 10/18 (ESTIMATE),field
1270,COPY WRITING FOR EMAIL COMMUNICATIONS,digital
91,RADIO ADS AZ-04 PRIMARY,media
5159,RADIO AD COSTS (FROM ADVANCE LINE 21),media
6334,ONLINE VOTER GUIDE; 10/1 - 10/18 (ESTIMATE),digital
3435,DIRECT MAIL (IN-KIND),fundraising
7419,POSTAGE AND VOTER LISTS,field
7012,ONLINE AD PRODUCTION,digital
7543,MAILPIECE AND POSTAGE,media
1721,PHONE BANK-COST ESTIMATED,polling
977,RESEARCH FOCUS GROUPS,polling
572,IE-MOURDOCK-PHONEBANKING,polling
892,POLLING COSTS,polling
3871,DIGITAL WEB AD PLACEMENT (BAYH BANK BAILOUT),digital
5992,PROJECTED MILEAGE REIMBURSEMENT FOR CANVASSERS ON OH 8/1-8/31,field
425,CATERING FACILITIES,administrative
1733,TV AD - THANK YOU SENATOR COLLINS,media
6533,INTERNET AD CREATION,digital
4073,1/3 SHARE OF PRE-PAID IE VIA ONLINE DISTRIBUTION,digital
4444,IE-MACK-DIRECT MAIL,fundraising
554,ADVERTISING MEDIA ADVERTISING,media
6810,IE-BEVIN-BUMPER STICKERS,field
4156,DIRECT MAIL - DISSEMINATED 7/27/16,fundraising
3540,IE-COTTON-PHONE PROCESSING,polling
5589,"WEB DESIGN - SHE WINS, WE WIN",digital
433,GENERIC CMTE MEDIA SERVICES,media
981,DIRECT MAIL (ALSO OPPOSES MARY LANDRIEU),fundraising
3909,MAILER #6,media
4068,IE-MANDEL-ONLINE BLOGS,digital
34,PAYROLL SEE MEMOS,administrative
6271,DIRECT MAIL INVOICE,fundraising
7808,"TV AND DIGITAL ADVERTISEMENT VOTE FOR SCOTT BROWN TV 15, 10/29 - 11/4.",digital
6362,BENISHEK RADIO AD,media
3726,REIMBURSEMENT FOR FACEBOOK ADS,digital
244,STAFFING AND SERVICES FOR FIELD CANVASSERS,field
1098,IE-RADIO-CASSIDY,media
6081,PRINT AND ON-LINE AD,digital
246,IE-BROWN-MEDIA BUY,media
4312,SENDING NEWS RELEASE (ESTIMATE),media
6995,IE-BEGICH-MEDIA BUY,media
2007,PRINTING AND MAILING 10/12,administrative
412,IE-WEB ADVERTISING,digital
2035,MAILING NEIGHBOR TO NEIGHBOR,administrative
2479,POLLSTER,field
781,FUNDRAISER BOOKS,fundraising
7700,ONLINE ADVERTISING/AD CHANGE,digital
2615,MEDIA BUY TV AND CABLE,media
671,DIRECT MAIL: PROVEN RECORD,fundraising
7227,WEB AD CREATION & PRODUCTION (FIRE UDALL),digital
709,PER DIEM PETITION CARRIERS PAYMENTS,misc
7926,IE-MULVANEY-YARD SIGNS,field
999,POLITICAL SURVEY,polling
7005,PRINT AD - CANDIDATE SPECIFIC,media
87,MARKETING,media
1421,"MERCHANDISE (T-SHIRTS, HATS, ETC.)",field
4915,MAIL PRODUCTION COSTS,administrative
281,401K PLAN,legal
1302,PRINTING ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 12/18/15.,administrative
4587,DOOR TO DOOR CANVASS TO DROP CANDIDATE LITERATURE,field
7425,BUS TOUR EXPENSE,travel
503,TV AD PRODUCTION: 'NICE',media
762,SMALL ITEMS  DISTRIBUTION,misc
4894,"INTERNET ADVERTISING PLACEMENT, PRODUCTION COSTS",digital
7585,PA CANVASS SUPPLIES,field
4043,SUPPORT ELECTION OF BOBBY SCHILLING,fundraising
6442,DIRECT MAIL - DISSEMINATED 8/5/2016,fundraising
81,FOOD/ REFRESHMENTS,administrative
4692,MEDIA PRODUCTION; ALSO SUPPORTS CLAY HIGGINS,media
7400,TELEVISION ADVERTISEMENT (PRODUCTION COSTS),media
4190,"ESTIMATE: STAFF MILEAGE REIMBURSEMENT COSTS, 10/30-11/4",travel
1771,TELEVISION ADVERTISING & PRODUCTION OF REFUSE,media
1906,HYBRID ROBOCALLS,field
439,PAC MEDIA,media
3741,IE-LOUDERMILK-YARD SIGNS,field
6897,TELEVISION ADVERTISING & PRODUCTION OF 'FREE RIDE',media
632,T-SHIRTS/RALLY SIGNS,field
366,ESTIMATED COST CANVASSING SERVICES,field
4358,TV BUY/PRODUCTION,media
5573,CATHERINE AGAINST NEVADA IN-KIND CONTRIBUTION:  COMMUNICATIONS (EXCEEDED $10K ON 9/15/2016),fundraising
3619,IE-BUERKLE-EST. STAFF & OVERHEAD,administrative
2486,TELEVISION AND RADIO PRODUCTION,media
562,ON-LINE ADVERTISING AND DIRECT MAIL,digital
5334,ESTIMATED COST: CANVASS TRANSPORTATION,field
4849,TELEVISION PRODUCTION AND MEDIA BUY - CAN'T GAMBLE,media
4563,POSTAGE MAIL,administrative
644,LEGAL AND ACCOUNTING SERVICES,legal
6822,MEDIA PLACEMENT - SATELLITE,media
5951,EQUIPMENT FOR CANVASSING,field
983,POLITICAL TRAVEL,travel
815,DATA MANAGEMENT,polling
2566,LAPEL STICKERS FOR CANVASSERS,field
7452,AGENCY FEES - CONSULTING,consulting
157,STAFF TIME FOR PHONE BANKING; 8/4 - 9/30 (ESTIMATE). FIRST PUBLIC COMMUNICATION DISSEMINATED 9/23/14,polling
5431,"PRODUCTION OF TV, CABLE, ONLINE ADS - ESTIMATED COST",digital
722,HEALTH INSURANCE CARSON,legal
5569,IE-WALSH-VOTER MAILING,field
1929,FULFILLMENT ITEMS - VINYL DECALS,administrative
6573,EST. PAYMENT FOR SALARY & BENEFITS,field
3319,MEDIA BUY  - 'WORKING',media
1609,MAILINGS (PRINT MAIL SHOP AND POSTAGE) -- CD 1: BIO; CD1: EXPERIENCE; CD 1 LEADERSHIP,administrative
283,COMMUNICATIONS CONSULTANT,consulting
3170,"TV AND DIGITAL MEDIA OPPOSING CATHERINE CORTEZ-MASTO, WORKING HARD, BEGINS 7/5/16.",digital
5544,PRINTING COSTS - CANDIDATE SPECIFIC,administrative
1781,MEDIA PRODUCTION-BILLBOARDS,media
588,PAC FUNDRAISING RETAINER,fundraising
0,ONLINE ADVERTISING,digital
5219,PHONEBANK,polling
333,ADDITIONAL RADIO AD PRODUCTION COSTS (FROM ADVANCE LINE 21),media
2447,PAC RADIO AD BUY 10/1-10/7/12,media
559,MEMBER ORGANIZATION FUNDRAISING TRAINING,fundraising
688,INAUGURATION EVENTS,misc
1731,TURNOUT MODELING,polling
1084,POSTAGE - 4TH CD FLIER,administrative
1253,"STAFF TIME ON E-MAIL, SOCIAL MEDIA, AND WEB CONTENT",digital
455,MEDIA BUY-TV,media
5767,SHIP CAMPAIGN MATERIALS TO VILLAGE (REIMBURSE G. BRINGHURST),administrative
3238,ADVERTISING BY MAIL,media
3713,"10/16 POSTAGE, DATA, PRINTING, MAILING",administrative
6389,"STAFF TIME, TRAVEL & PHONEBANKING; 10/20 -11/8",field
699,RADIO PURCHASE AND PRODUCTION COSTS,media
190,TELEVISION PRODUCTION OF 'BLACKBOARD',media
4709,TAPEWORK,administrative
6669,TV AD PRODUCTION: 'TRICK-EDWARDS',media
3518,SIGNS & FLYERS,media
3977,ENDORSEMENTS TO WEBPAGE,digital
4798,NEWSPAPER AD - KY,media
6223,TELEPHONE SURVEY AND ANALYSIS,polling
6269,AD DESIGN - ANOTHER FEMINIST FOR HILLARY (ESTIMATED),media
7180,CREATE DIRECT MAIL PACKAGE,fundraising
7602,VOTER CONTACT/MAIL,field
4234,ESTIMATE OF FEBRUARY MONTHLY ONLINE ADVERTISING FEES,digital
2534,PRODUCTION AND SENDING OF EMAILS AND TEXTS 10/31 - 11/8,digital
4189,MEDIA-TV PRODUCTION,media
510,MEDIA ADS TO GET OUT THE VOTE,media
5949,TELEVISION AD DEVELOPMENT,media
7055,PRODUCTION GOTV MAILER,media
7432,IE-MANDEL-EMAIL LIST RENTAL,digital
7661,DIGITAL AD DELIVERY (RUN DATES 7/28 - 8/04/2014),digital
3549,CAMPAIGN RALLY FOOD SERVICE (REIMBURSE GREG BRINGHURST),field
5975,5/5 TO 5/11 RADIO ADVERTISEMENT,media
4674,DIGITAL ADS & PRODUCTION - ESTIMATE,digital
5602,ON-LINE ADVERTISING,digital
5194,TV AD - RUNNING,media
4796,TELEVISION PLACEMENT AND PRODUCTION,media
5733,PRODUCTION OF T-SHIRTS FOR CWA MEMBERS,field
5059,INK AND CARD STOCK FOR WALK PIECES,field
7050,MAILER (OBAMACARE),media
6503,TE-LODGING,travel
7876,AIRFARE FOR TALENT FOR ONLINE VIDEO PRODUCTION,digital
2243,PHOTOCOPYING OF VOTER GUIDE  JOSH BRANNON,media
790,AUDIO SYSTEM SERVICES,media
269,STAFF TIME FOR PHONE BANK (ESTIMATE),polling
5028,DRIVING FOR EVENT,travel
6795,PRODUCTION COSTS FELONY,media
570,ADVERTISING SERVICES,media
3068,MAIL PIECE PRODUCTION AND MAILING (NATIONWIDE EXPENDITURE),media
834,AUTOMATED CALLS 10/31,field
61,CATERING FACILITIES EVENT COSTS,administrative
5807,BAGGAGE CHECK,travel
2550,MEIDA PRODUCTION ESTIMATED COSTS,media
7627,ADVERTISING - RADIO (ALSO SUPPORT TED CRUZ),media
2382,IE-COFFMAN-GRASSROOTS ORGANIZING,field
4777,5/26 TO 5/29 RADIO ADVERTISING,media
7923,7/2 TO 7/6 RADIO ADVERTSING,media
1987,RECORDED PHONE CALLS,polling
6981,DIRECT MAIL OF 'JEOPARDY',fundraising
3141,EMAIL DEPLOYMENT,digital
1635,IE-BEVIN-TRAVEL,travel
5171,POSTAGE FOR MAILERS (MASTO OBAMACARE MAILER 3),media
5168,ADVERTISING PRODCUTION (ALSO OPPOSES ROMNEY),media
214,PAYMENT FOR COSTS OF VOLUNTEER VOTER CONTACT PROGRAM FROM 9/21/12-10/19/12,field
4041,IE-SMITH-PHONE CALLING,polling
1585,PARYROLL & BENEFITS - TRUMP ON IMMIGRAION,administrative
2266,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 11/30/15.,fundraising
1286,IE-PRINTING/POSTAGE-ERNST,administrative
6766,PRINTING AND MAILING  ON 10/12,administrative
4697,VOTER CONTACT PHONES-ALSO SUPPORTING ANDREW HEANEY,field
7337,AMTRAK,travel
5190,TV AD - POLLUTERS,media
2136,AD PRODUCTION COSTS (HIGHWAY),media
6677,PRINTING - VOTE FOR HILLARY CLINTON,administrative
596,MILEAGE REIMBURSEMENT FOR CANVASSERS 7/25-7/31 NC,field
5231,RADIO ADVERTISING & PRODUCTION,media
4125,THE EXHIBIT PLACE - INVOICE 27493 (FLYERS),media
3851,TELEVISION PRODUCTION OF 'UP' - ESTIMATE,media
4116,"ESTIMATED PHONE BANKING, PRECINCT WALKING AND VISIBILITY EVENTS FOR 11/1/12 - 11/4/12",polling
5290,SOCIAL MEDIA PRODUCTION & PLACEMENT: ORLANDO ENDORSEMENT,digital
7357,3 MINI IPODS,misc
3126,POLL COSTS,polling
582,EMAIL COMMUNICATIONS,administrative
2215,"PRODUCTION, PRINTING AND DISTRIBUTION OF HANDOUT/MAILER; ALSO OPPOSES MITT ROMNEY",media
3276,AUTOMATED CALLS/LIVE PHONE BANKS,polling
702,EVENT SOUND AND AUDIO SYSTEM AUDIO ENGINEER AND OPERATOR LABOR,field
4255,IE-JOHNSON-EMAIL LIST USAGE,digital
261,CONSULTING FUNDRAISING SERVICES,consulting
7411,TELEVISION ADVERTISING 10/31-11/2,media
2518,WALKCARD/LITERATURE,field
1395,DIRECT MAIL APPEAL OPPOSING HILLARY CLINTON. DMS SENT ON 6/09/16.,fundraising
531,MEDIA DIGITAL AND TV ADVERTISING BUY,digital
2622,LIVE VOTER CONTACT PHONES,field
4705,DIGITAL CONSULTING/WEB SERVICE,consulting
7481,IE-MACK-RENT ADJUSTMENT,administrative
7594,TV AD  'PRIORITIES',media
2696,PRINT 14TH CD POSTCARD,administrative
4953,CAMPAIGN LITERATURE AND MAILINGS; CAMPAIGN CONSULTANTS,consulting
7166,MILEAGE ESTIMATE FOR FL CANVASSERS 10/1-10/19,field
1101,BUS TOUR - VAN RENTAL,travel
1403,TIME FOR TV AD,media
3190,TV AD PRODUCTIN COSTS,media
3075,DESIGN/REVIEW OF GRAPHIC,digital
2974,FOOD FOR CANVASS AND PHONE BANK,field
2684,RENTAL CARS FOR CANVASSING DEPLOYMENT 10/15-10/17,field
197,PAC PRINTING POSTAGE,administrative
4760,RADIO AD PRODUCTION/ESTIMATED COST,media
6735,OUTBOUND VOTER CONTACT CALLS,field
5501,PHONEBANKING SERVICES,field
843,GENERIC CMTE DATA ANALYSIS,polling
4254,WAGES FOR PHONE BANK SERVICES,field
525,IE-SASSE-DIRECT MAIL PRODUCTION,fundraising
4393,SPANISH TRANSLATION OF NEWSPAPER AD,media
2333,RADIO & TELEVISION ADVERTISING,media
7467,FACEBOOK PROMOTION,digital
3256,DIRECT MAIL - 'LEADER',digital
373,PAID CANVASSER PAYROLL,field
3828,IE-LUGAR-SHIPPING,administrative
3665,EMAIL COSTS (FROM ADVANCE LINE 21),fundraising
3870,"PRINTING, IE MAILING, ESTIMATE AMOUNT",fundraising
303,POLITICAL CONSULTANT,consulting
684,EVENTS CATERING,misc
1671,ESTIMATE OF MARCH MONTHLY LIST RENTAL FEES AND ONLINE ADVERTISING,digital
7738,LIST RENTAL FEES FOR 7/27,fundraising
648,AUDIO VISUAL STAGING,media
2030,TV AD PRODUCTION COSTS (PULLED FROM ADVANCE LINE 21),media
5856,IE-CASEY-MEDIA BUY,media
5085,"RADIO, INTERNET ADVERTISING",digital
2582,ESTIMATE - GIVEGREEN APPEAL - POSTAGE,administrative
7929,IE-POLIQUIN-VOTER SURVEY,polling
1631,TV AD PRODUCTION TRICK-OLIVERIO,media
3860,MAIL PRODUCTION PRINTING POSTAGE (OBAMA'S POLICIES 4),fundraising
816,DATA PROCESSING SERVICES,polling
144,POSTAGE AND DELIVERY,administrative
937,SURVEY SVCS,polling
258,DOOR HANGERS,field
54,IE-MACK-ONLINE ADS,digital
3643,IE-MACK-VIDEO PRODUCTION,media
827,DONOR FILE MAINTENANCE,fundraising
7741,PRINTING FOR EMC MAILING,administrative
5719,AD IN CONVENTION BOOK,media
6619,PRO-MARKEY MESSAGING/COMMUNICATION,media
971,TRAVEL LODGING AMEX SB232140641,travel
4185,NEWSPAPER AD - NV,media
7410,TV AD - HURTING,media
326,CONSULTING STRATEGY,consulting
910,BENCHMARK SURVEY,polling
1293,DIGITAL ADVERTISING & PRODUCTION - DISSEMINATED 10/12/2016,digital
883,LIST RENTAL DATA SERVICES,polling
3582,PRO-CARNEY MESSAGING/COMMUNICATION DEV,media
1801,BROADCAST AND CABLE TELEVISION,media
6721,IE-HATCH-BOOK MAILER,media
6209,RADIO ADVERTISING PRODUCTION COSTS,media
80,SALARY AND OVERHEAD EXPENSES,administrative
1010,IE-MOURDOCK-CAMPAIGN BUTTONS,field
6327,4/25 TO 4/30 ADVERTISING,media
4855,SOCIAL MEDIA PRODUCTION: A NEW PATH,digital
1369,TV ADS 4/30+ TIME AND PRODUCTION,media
7882,IE-ADVERTISING-BLUNT,media
3685,TV AD PRODUCTION COSTS (CHOICE),media
2717,DIGITAL TRACKING EQUIPMENT REPAIRS,digital
5303,ADVERTISING - RADIO PRODUCTION/PLACEMENT,media
5522,STAFF TRAVEL FOR GOTV WORK,travel
118,NEWSPAPER AD - AR,media
2964,DIRECT MAIL; ALSO OPPOSES BROWN,fundraising
7522,AERIAL ADVERTISING - 'TRUMP MONDAY NIGHT FOOTBALL PLANE',media
5699,3 HOTEL ROOMS FOR METAIRIE EVENT GUESTS,travel
1288,IE-SHANNON-ONLINE ADS,digital
2985,TV AD - 'DIDN'T TAKE LONG',media
7295,IE-NELSON-ONLINE BLOG,digital
7211,DIRECT MAIL APPEAL OPPOSING HILLARY CLINTON. DMS SENT ON 5/18/16.,fundraising
713,JFC AUDIO LIGHTING EXPENSE,misc
5493,TELEVISION MEDIA BUY - 'PROSECUTORS',media
1404,IE-BENTIVOLIO-SIGNAGE,field
86,MAIL,administrative
5652,WEB DOMAIN,digital
4371,REIMBURSEMENT FOR NEWSPAPER AD IN BIG SANDY NEWS,media
497,DIRECT MAIL PAC FUNDRAISING,fundraising
4098,MEDIA - TV AD,media
292,TELEPHONE VOTER CONTACT,field
371,REIMBURSEMENT FOR MAGAZINE POSTAGE,administrative
4158,LIST ACQUISITION PRODUCTION PRINTING AND POSTAGE OF MAILER,fundraising
4008,EMAIL LIST RENTAL AND DEPLOYMENT- NATIONALLY DISTRIBUTED,digital
474,PAC FUNDRAISING CONSULTANT,consulting
981,TRAVEL TRAVEL,travel
1443,DIRECT MAIL: PRINTING,fundraising
3747,RADIO / MEDIA PLACEMENT,media
4944,OFFICE SUPPLY,administrative
921,POLLING FEE,polling
4548,TALENT RADIO AD,media
3635,DOOR HANGERS- FLORIDA,field
5173,PRODUCTION COST- MAIL PIECE 5,media
5534,NEWSPAPER ADVERTISING,media
2650,DIRECT MAIL APPEAL FEE ESTIMATE OF NATIONWIDE DM SUPPORTING DONALD TRUMP. DMS SENT ON 8/24/16.,fundraising
1579,STAFF TIME & EXPENSES FOR GOTV; 10/31 - 11/4 (ESTIMATE),fundraising
751,LIGHTING AND AUDIO STAGE SETUP,misc
1526,ESTIMATED COST FOR CANVASSING SERVICES 4/20-4/26,field
54,PAYROLL SEE BELOW,administrative
2129,VOTER CONTACT-EMAILS,digital
4165,TELEVISION ADVERTISING - PRODUCTION,media
640,LEGAL RETAINER FEE,legal
7803,"ONLINE ADS; 10/5 - 10/30. DOES NOT REACH $1,000 UNTIL 11/1",digital
7561,DIRECT MAIL APPEAL OPPOSING HILLARY CLINTON. DMS SENT ON 6/13/16.,fundraising
3982,POST PRODUCTION,media
1227,THE EXHIBIT PLACE - INVOICE 27492 (FLYERS),field
316,BUMPER STICKERS,field
6150,DATA FOR AI CALLS OPPOSING CANDIDATE,field
3681,RADIO ADVERTISING BUY FOR 07/28/16,media
523,DIGITAL AD BUY-ESTIMATED COSTS,digital
1756,STAFF TRAVEL AND LODGING,travel
19,CREDIT CARD SEE BELOW,administrative
3779,LINK DISTRIBUTION,digital
35,WEBSITE DEVELOPMENT,digital
664,MPND12006 - OUT OF TOUCH #3,media
877,TRAVEL MEALS,travel
254,IE-BEVIN-RADIO ADVERTISING,media
1366,CONSULTING:  STRATEGY AND MESSAGING,consulting
2025,IE-MANESS-MEDIA BUY,media
3405,RADIO PRODUCTION ESTIMATE - PREPARED - DISSEMINATED 8/20/2016,media
1769,"MAGAZINE INSERT, PRINTING AND SHIPPING (NATIONALLY DISSEMINATED)",media
80,10/15 TO 10/16 RADIO ADVERTISING,media
6760,"TIME SPENT ON MESSAGING, TV MEDIA SCHEDULE, ETC",media
2847,IE-POLIQUIN-TELEMARKETING,fundraising
3237,PHOTO,media
60,TV AND INTERNET ADVERTISING,digital
4265,PRODUCTION COST FOR TV AD,media
293,TV ADVERTISING OF 'NO FRIEND',media
4057,INTERNET COMMUNICATION,digital
121,ONLINE ACQUISITION,digital
206,"DIRECT MAIL DESIGN, PRINTING, HANDLING & POSTAGE",fundraising
56,PAYROLL SEE BELOW IF ITEMIZED,administrative
535,TV MEDIA PLACEMENT,media
7230,EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 7/1-7/31,field
4388,AUTOMATED CALLING,polling
698,ADVERTISEMENT PURCHASE,media
731,PAC ONLY AUDIO VISUAL REPRODUCTION,fundraising
3576,SHIRTS SUPPORTING B. BOYLE (CONGRESS),field
