Purpose Code,Categorization
POSTAGE FOR MAILERS ('OBAMACARE'),administrative
POSTAGE FOR MAILERS (SUPREME COURT),administrative
PRINT POSTAGE PRODUCTION DESIGN,administrative
LIVE PHONE CALLS,field
TELEVISION ADVERTISING OF WANTED,media
DIRECT MAIL; ALSO OPPOSES RICK SANTORUM,fundraising
POSTAGE FOR MAILERS ('SUPREME COURT'),administrative
NEWSPAPER ADVERTISEMENT,media
TV/RADIO AD PRODUCTION,media
MAILING PRODUCTION COSTS,administrative
RADIO AD: PRODUCTION AND MEDIA BUY,media
PHONE CALLS (ESTIMATED COSTS),administrative
TV ADS & PRODUCTION COST 'NY-19' 'HIT',media
DIGITAL WEB AD (MCGINTY CORPORATE SUBSIDIES),digital
INTERNET AD COSTS/WEB PAGE DESIGN COSTS,digital
POSTCARD POSTAGE,administrative
"TV ADVERTISEMENT FIGHT HARD SUPPORTING MITCH MCCONNELL, 12/3 - 12/12.",media
DIGITAL AD PLACEMENT BUY,digital
TV ADVERTISING OF 'WRONG' - ESTIMATE,media
DIRECT MAIL (ALSO OPPOSES KAY HAGAN),administrative
"DIRECT MAIL;PAID 94,454.45 - RED PRINTING & MAIL;$2,292.00 - POLITICAL DATA; $83,780.91 - U.S.P.S",administrative
TV AD - SMART,media
BROADCAST TV MEDIA BUY (WASTE),media
MEDIA BUY FOR CABLE TV AD (ALSO OPPOSES TED CRUZ),media
DOOR TO DOOR/VOTER CONTACT,field
"ADVERTISEMENT CREATION, PRODUCTION AND PLACEMENT",media
KIDS ONLINE AD PLACEMENT (ACTUAL NOT ESTIMATED),digital
MEDIA - NUESTRO PAIS,media
MAILER (RECEIPT),administrative
TV AD PLACEMENT: TRICK-SPRATT,media
"MEDIA BUY TV - ORIGINALLY REPORTED AS $983,801.00; REVISED TO ACTUAL",media
PAC MEDIA,media
DIRECT MAIL PRINTING/PRODUCTION,fundraising
MEDIA PLACEMENT-NATIONAL-ALSO OPPOSE BUSH AND CLINTON,media
MAILER - AFSCME-M6,administrative
MAILER - AFSCME-M5,administrative
MOBILE ADS,digital
FIELD CANVASS,field
IE-MANDEL-EMAIL LIST RENTAL,digital
MEDIA PRODUCTION; ALSO SUPPORTS MITT ROMNEY,media
POSTAGE FOR MAILERS ('DEFEAT 'PAY-MORE' PATRICK'),media
TELEVISION AD (BETTER) AIR BUY PRODUCTION COSTS.,media
"TV ADVERTISEMENT POWER SPANISH OPPOSING MARK UDALL, 9/4 - 9/17.",media
PRODUCTION AND DISPLAY ADVERTISEMENT: 'ROMNEY WANTS MOURDOCK',media
IE-BROWN-ONLINE ADS,digital
MEDIA BUY - RADIO,media
'FIRE-MAFFEI' TV ADVERTISEMENT,media
INTERNET ADVERTISING; ALSO OPPOSES NEWT GINGRICH,digital
VIDEO MOBILE BILLBOARDS,digital
ESTIMATED COST FOR DIRECT MAIL,fundraising
"TV AND DIGITAL ADVERTISEMENT GOOD DOG RON SUPPORTING MARTHA MCSALLY, 9/5 - 9/14.",digital
"TV AND DIGITAL ADVERTISEMENT GOOD DOG RON OPPOSING RON BARBER, 9/5 - 9/14.",digital
VOTER OUTREACH CONSULTING SERVICES,consulting
TELIVISOIN AD,media
TELEVISION ADVERTISING BUY FOR 05/06/14 OREGON AD,media
"TV AND DIGITAL ADVERTISEMENT DEFEND SUPPORTING ANDY BARR, 5/7 - 5/17.",digital
TELEVISION AD - MEDIA BUY. AD AIRS 5/22 - 6/2.,media
ESTIMATED NOVEMBER EXTERNAL DEPLOYMENT LIST RENTAL AND ONLINE VOTER CONTACT,digital
RADIO/MEDIA PLACEMENT,media
MILEAGE,travel
"INTERNET AD PLACEMENT, PRODUCTION COSTS",digital
RADIO ADS STARTING 4/30+ TIME AND PRODUCTION,media
WEB AD PLACEMENT (RENEE PROMISED),digital
TELEVISION ADVERTISING OF 'DESTROY',media
RADIO ADVERTISING; ALSO SUPPORTS MITT ROMNEY,media
ESTIMATED COST FOR CANVASSING SERVICES FOR 8/29-9/4,field
MEDIA BUY - WEHBY FOR SENATE 05/05/14-05/11/14,media
ESTIMATED PAYMENT FOR SALARY AND BENEFITS FROM 10/16-11/6,administrative
CATHERINE AGAINST NEVADA DIGITAL ADVERTISEMENT,digital
IES TELEVISION,media
"TV AD AIR BUY, PRODCUTION COSTS",media
"MAIL DESIGN/LAYOUT, PRITING, HANDLING FEE & POSTAGE",administrative
MAILER PRODUCTION AND POSTAGE,administrative
POSTAGE FOR MAILERS (KANDER COST OF LIVING),administrative
MEDIA BUY - TN 07/29/14 AD,media
IE-TV ADVERTISING,media
DIGITAL MEDIA PRODUCTION/PLACEMENT - MISSOURI,digital
EST - SERIES OF MAILERS,administrative
CABLE AD BUY,media
POSTAGE - MAIL PIECE 2,administrative
STAFFING AND SERVICES FOR FORTY CANVASSERS,administrative
MEDIA PLACEMENT - TV,media
TV AD PRODUCTION (ESTIMATED),media
TV AD PLACEMENT 'TRICK-CAUSEY',media
TV ADS WHAT'S THE DEAL,media
CANVASS LIT,field
DIGITAL PLACEMENT (BRUCE'S STORY),digital
TV AD PRODUCTION & PLACEMENT: FOUGHT,media
TV AD PRODUCTION & PLACEMENT: WALK,media
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES STARTING ON 9/12,field
DIGITAL WEB AD ('FAMILIES'),digital
DIGITAL WEB AD (FAMILIES),digital
PER DIEM,misc
TV AD PRODUCTION - ESTIMATED COST,media
RADIO ADVERTISING (PLACEMENT COST),media
RADIO ADVERTISEMENT DISSEMINATION,media
WEBSITE AND DIGITAL CONSULTING SERVICES,digital
CANVASSING EXPENSES.,field
IE-MOURDOCK-EMAIL LIST RENTAL,digital
IE-COTTON-MEDIA BUY,media
TV ADS BEHIND CASA,digital
TV PLACEMENT AND PRODUCTION,media
"TV ADVERTISEMENT STRONG SUPPORTING SHELLEY MOORE CAPITO, 12/5 - 12/14.",media
AD PRODUCTION AND COMMISSION-ESTIMATED COSTS,media
RADIO AD/PRODUCTION,media
"TV ADVERTISEMENT STANDING TALL SUPPORTING EVAN JENKINS, 12/5 - 12/14.",media
POLITICAL MAIL,field
DOOR-TO-DOOR CANVASS STAFF AND RELATED EXPENSES,field
ONLINE AD CAMPAIGN,digital
TV AD PLACEMENT AND PRODUTION,media
BROADCAST TV MEDIA BUY (PLEDGE),media
MEDIA BUY FOR POLITICAL AD,media
TV & CABLE ADVERTISING - INNOVATION,media
SEARCH ENGINE ADVERTISING,digital
CREATION AND PLACEMENT OF SOCIAL MEDIA AD RUNNING 10/19 - 10/25,digital
ESTIMATED REMAINING PRE-PAID AD BUY BUDGET FOR MONTH BEFORE PRIMARY,media
MEDIA BUY - NY 9/25/12,media
PERSUASION CALLS,field
FULFILLMENT ITEMS - SIGNAGE & CLOTHING,field
TV ADVERTISEMENT - CHOICE,media
PRINT 4 COLOR POSTCARD,administrative
PRODUCTION COST - MAIL PIECE 1,administrative
MIKE SIMPSON (ID-02) TV AD,media
TV MEDIA PRODUCTION,media
"DIRECT MAIL PRINTING, POSTAGE AND SHIPPING",fundraising
VOTER ID AND PERSUASION CANVASS OPERATION,field
RADIO AD PLACEMENT: COAL,media
FIELD PROGRAM FOR GOTV,field
LIST RENTAL EXPENSE,field
TELEVISION AD MEDIA BUY - NELSON,media
"MAIL PRINTING, PRODUCTION AND POSTAGE",administrative
RADIO AD PLACEMENT AND PRODUCITON,media
TV BUY AND PRODUCTION,media
EVENT PRODUCTION,fundraising
IE-WEST-DIRECT MAIL,fundraising
GRASSROOTS CANVASSING,field
ONLINE VIDEO PRODUCTION COSTS & AD BUY,digital
PAYMENT FOR CANVASSING SERVICES BEGINNING ON 10/4,field
RADIO ADS - CONTRAST,media
MEDIA BUY & SPOT PRODUCTION - MEDIA PRE-ROLL,media
DIRECT MAIL AND ROBO-CALL VOTER CONTACT PROGRAM,fundraising
CREATIVE/NETWORK/INTERNET WI,digital
"TELEVISION ADVERTISEMENTS RUNNING FROM OCTOBER 5, 2012 TO NOVEMBER 6, 2012.",media
TV AD PLACEMENT: TRICK-ADLER,media
DIGITAL ADVERTISING PRODUCTION AND BUY,digital
DIGITAL ADVERTISING - DISSEMINATED 10/28/2016,digital
PRODUCTION AND POSTAGE,administrative
CANVASS EXPENSE,field
IE-BUCK-MEDIA PRODUCTION;/TV BUY,media
MEDIA PRODUCTION; ALSO OPPOSES MITT ROMNEY,media
RADIO ADVERTISING & PRODUCTION,media
IE-ALLEN-ONLINE ADS,digital
DIGITAL AD PLACEMENT,digital
CONTRACT LABOR FOR STATE ELECTION CONSULTING,consulting
PROMOTIONAL LITERATURE,field
MAILHOUSE/POSTAGE,administrative
TELEVISION ADVERTISING OF 'WORK',media
RADIO MEDIA SCHEDULE,media
DIRECT MAIL -- COLORADO; ALSO OPPOSES BARACK OBAMA,fundraising
TELEVISIOIN ADVERTISING,media
"TELEVISION PRODUCTION, MEDIA BUY",media
DIRECT MAIL PRODUCTION/TELEMARKETING,fundraising
IE-MANDEL-DIRECT MAIL,fundraising
IE-BROWN-DIRECT MAIL,fundraising
TV AD - THREATEN,media
INTERNET ADS STARTING 10/13,digital
PRODUCTION AND MEDIA BUY FOR POLITICAL AD,media
LEADERSHIP ONLINE AD PLACEMENT (ACTUAL NOT ESTIMATED),digital
KIDS ONLINE AD PLACEMENT (FINAL TOTAL NOT ESTIMATED),digital
LATINO DIRECT MAIL,fundraising
FULFILLMENT ITEMS,field
MAILING PRODUCTION AND POSTAGE COSTS,administrative
NATIONAL BUS TOUR 9/28 TO 11/6,travel
TV ADVERTISING BUY AND PRODUCTION,media
ONLINE MEDIA,digital
POSTAGE FOR MAILER (CRONYISM),administrative
TV AD PLACEMENT: 'NICE',media
"MEDIA BUY, 4 WEEKS",media
DIRECT MAIL -- OHIO; ALSO OPPOSES BARACK OBAMA,fundraising
CABLE TV ADS - SUPREME COURT,media
MAIL PRINTING AND POSTAGE,administrative
DIRECT MAIL DESIGN/LAYOUT PRINTING MAIL SERVICE & POSTAGE (MOTHER TERESA),fundraising
PANDORA ADS,digital
DIRECT MAIL SERVICES AND POSTAGE; DISSEMINATION DATE 05/26/2016,fundraising
IE-MOURDOCK-SIGNAGE,field
MEDIA ADVERTISING TIME BUY ORDER-TV SPOT 'TOUGH TIMES',media
"NEW TELEVISION AD AIR BUY, PRODUCTION COSTS",media
POSTCARD PRINT & PRODUCTION,administrative
ESTIMATED COST FOR CANVASSING SERVICES FOR 8/22-8/28,field
PAC RADIO AD BUY 10/1-10/7/12,media
RADIO AD PRODUCTION AND PLACEMENT,media
MEDIA BUY - DIGITAL,digital
INDEPENDENT EXPENDITURE ONLINE ADVERTISING,digital
DIGITAL AD PLACEMENT PRODUCTION COSTS MATH,digital
'INSIDER-BARBER' TV ADVERTISEMENT,media
NEWSPAPER ADS AND MAIL,media
TV ADS 'THE FACTS',media
IE-SMITH-VOTER ID MAILING,media
MEDIA BUY BROADCAST & CABLE,media
ADVERTISING - MOBILE,digital
ESTIMATED OUTBOUND VOTER CONTACT CALLS FOR JUNE,field
RADIO & DIGITAL ADVERTISING PRODUCTION & BUY,digital
MEDIA PRODUCTION & MEDIA TIME,media
PRODUCTION PLANNING/STRATEGY/MEDIA CONSULTING,media
WEB ADVERTISING (ESTIMATED VALUE),digital
TELEPHONE & DOOR-TO-DOOR EFFORTS,field
"TV AND DIGITAL ADVERTISEMENT TESTED SUPPORTING PAT ROBERTS, 10/29 - 11/4.",digital
"TV AND DIGITAL ADVERTISEMENT HANDPICKED SUPPORTING DAN BENISHEK, 9/5 - 9/15.",digital
"TV AND DIGITAL ADVERTISEMENT HANDPICKED OPPOSING JERRY CANNON, 9/5 - 9/15.",digital
"TV AND DIGITAL ADVERTISEMENT FOLLOW PELOSI SUPPORTING NAN HAYWORTH, 9/24 - 10/7.",digital
"TV AND DIGITAL ADVERTISEMENT FOLLOW PELOSI OPPOSING SEAN MALONEY, 9/24 - 10/7.",digital
"TV AND DIGITAL ADVERTISEMENT PAID OPPOSING JOE GARCIA, 10/30 - 11/3.",digital
TV MEDIA BUY - 'VETERANS AGAINST ANGLE' 10/26/2010,media
"RADIO BUY, AD PRODUCTION",media
"TV ADVERTISEMENT HUNGRY SUPPORTING BARBARA COMSTOCK, 9/24 - 10/1.",media
"TV ADVERTISEMENT HUNGRY OPPOSING JOHN FOUST, 9/24 - 10/1.",media
"TV AND DIGITAL AD RANDY OWEN MITCH ENDORSEMENT SUPPORTING MITCH MCCONNELL, 10/24 - 11/4.",digital
"TV ADVERTISEMENT STANDING OPPOSING RICK NOLAN, 9/5 - 9/15.",media
"TV ADVERTISEMENT STANDING SUPPORTING STEWART MILLS, 9/5 - 9/15.",media
"TV ADVERTISEMENT STOP WASHINGTON AGAINST ANN KIRKPATRICK, 8/21/14 - 8/26/14.",media
"TV ADVERTISEMENT STOP WASHINGTON SUPPORTING ANDY TOBIN, 8/21/14 - 8/26/14.",media
ESTIMATED EXTERNAL DEPLOYMENT LIST RENTAL AND ONLINE VOTER CONTACT,digital
ESTIMATED LIST RENTAL FEES AND ONLINE ADVERTISING,field
ESTIMATED LIST RENTAL COSTS FOR JUNE,field
DIGITAL AD PRODUCTION AND BUY (ESTIMATE),digital
CONTRIBUTION FOR IE RADIO COMMUNICATIONS,media
POLLING & RESEARCH,polling
IE-MASTO-MEDIA BUY,media
JOINT CANVASS,field
RADIO AD WONDER,media
MEDIA BUY & PRODUCTION: RADIO,media
BROADCAST TV AD BUY (RESPECT),media
STAFFING AND SERVIES FOR FORTY FIELD CANVASSERS,field
TELEVISION ADVERTISING OF 'SCRATCH',media
CABLE PLACEMENT,media
LATINO RADIO ADS,media
